question_number,filename,prompt_purpose,prompt_number,evaluation,potency,activity
1,1_EPA+++_Discipline/Rachel-HitheregoodtoseeyouLetsgetstartedTryturningonthewater-93756.mp4,wateron,1,2.5,1.777777778,1.111111111
2,1_EPA+++_Discipline/Rachel-Tryputtingonsomesoap-58531.mp4,soap,2,1.555555556,1.166666667,1.352941176
3,1_EPA+++_Discipline/Rachel-Tryrinsingyourhands-55613.mp4,wet,3,0.444444444,0.333333333,1.277777778
4,1_EPA+++_Discipline/Rachel-Tryturningoffthewater-33244.mp4,wateroff,4,1.111111111,0.944444444,0.888888889
5,1_EPA+++_Discipline/Rachel-GoodjobTryusingthetoweltodryyourhands-53450.mp4,dry,5,2.277777778,1.222222222,1.333333333
6,1_EPA+++_Discipline/Rachel-GoodbyeHopetoseeyousoon-83716.mp4,goodbye,6,2.111111111,0.444444444,0.111111111
7,2_EPA+--_Request/Rachel-HelloIamsogladtohaveyouherePleaseturnonthewater-69710.mp4,wateron,1,2.5,1.055555556,1
8,2_EPA+--_Request/Rachel-YouarewashingyourhandsPleaseusethesoap-84540.mp4,soap,2,1.222222222,0.888888889,0.722222222
9,2_EPA+--_Request/Rachel-Pleaserinseyourhands-74852.mp4,wet,3,2.277777778,1.333333333,1.111111111
10,2_EPA+--_Request/Rachel-PleaseturnthewateroffThankyou-27634.mp4,wateroff,4,2.5,1.222222222,0.944444444
11,2_EPA+--_Request/Rachel-YouaredoinggreatPleasedryyourhandsusingthetowel-96634.mp4,dry,5,2.888888889,1.555555556,0.5
12,2_EPA+--_Request/Rachel-PleasecomebackIshallwaitforyou-94939.mp4,goodbye,6,1.5,-0.111111111,0.111111111
13,3_EPA-++_Bossy/Rachel-HiLetsstartwashingyourhandsTurnonthewater-99014.mp4,wateron,1,-0.277777778,1.333333333,1.055555556
14,3_EPA-++_Bossy/Rachel-NOWusethesoap-87956.mp4,soap,2,-1.5,1.666666667,1.444444444
15,3_EPA-++_Bossy/Rachel-RinseyourhandsNOW-52321.mp4,wet,3,-1.833333333,1.833333333,2
16,3_EPA-++_Bossy/Rachel-WillyouturnoffthewaterNOW-70627.mp4,wateroff,4,-1.944444444,1.555555556,1.666666667
17,3_EPA-++_Bossy/Rachel-NOWdryyourhands-53452.mp4,dry,5,-1.444444444,1.611111111,1.277777778
18,3_EPA-++_Bossy/Rachel-YouaredoneLeaveNOW-26643.mp4,goodbye,6,-2.666666667,1.944444444,1.444444444
19,4_EPA---_Bum/Rachel-HeyCametowashyourhandsTurnonthewaterifyouwant-9002.mp4,wateron,1,-2.277777778,-0.222222222,0.055555556
20,4_EPA---_Bum/Rachel-Ifyouwanttoputonsomesoapthereisasoappumplyingaround-46711.mp4,soap,2,-0.944444444,-0.666666667,0
21,4_EPA---_Bum/Rachel-Rinseyourhandsifyouwant-96519.mp4,wet,3,-1.5,-1.555555556,-0.111111111
22,4_EPA---_Bum/Rachel-Turnthewateroffwhendone-19415.mp4,wateroff,4,-0.166666667,1.277777778,0.722222222
23,4_EPA---_Bum/Rachel-Thereisatowelsomewheretodryyourhands-13545.mp4,dry,5,-1.388888889,-1.611111111,-0.444444444
24,4_EPA---_Bum/Rachel-Willseeyouwhatever-49613.mp4,goodbye,6,-2.666666667,-0.833333333,0.222222222
25,5_EPA+-+_Childlike/Rachel-Iwantyoutoturnthewateron-1650.mp4,wateron,1,-0.222222222,0.944444444,0.888888889
26,5_EPA+-+_Childlike/Rachel-Iwantyoutoputonsomesoap-7471.mp4,soap,2,0.388888889,1.777777778,1.5
27,5_EPA+-+_Childlike/Rachel-CanIgetyourhandsrinsed-91143.mp4,wet,3,1.222222222,0.555555556,1.111111111
28,5_EPA+-+_Childlike/Rachel-Iwantyoutoturnoffthewater-75553.mp4,wateroff,4,0.235294118,1.470588235,1.294117647
29,5_EPA+-+_Childlike/Rachel-CanIgetyourhandsdriedup-87426.mp4,dry,5,1.444444444,1.111111111,1.166666667
30,5_EPA+-+_Childlike/Rachel-Canyoucomebacksoon-33624.mp4,goodbye,6,1.058823529,0.117647059,0.470588235